xa,ya,za,xg,yg,zg
0.47052926,0.11092949,0.38979983,0.5164218,0.03412992,-0.03289186
0.25318992,0.24998379,0.43912005,0.5015118,0.05223492,-0.01691686
0.04924591,0.4335394,0.52081263,0.47382182,0.06607992,0.0001231404
-0.075565144,0.5500488,0.6081879,0.43867683,0.06394992,0.01396814
-0.1501612,0.5579548,0.61057854,0.38968682,0.044779923,0.020358142
-0.084733486,0.5152397,0.50911236,0.33430684,0.009634922,0.02568314
0.09295965,0.4602642,0.36146307,0.26827684,-0.035095077,0.027813142
0.29209587,0.40471458,0.25211167,0.19479182,-0.073435076,0.02887814
0.41806126,0.32719517,0.20800996,0.12343683,-0.09686508,0.02994314
0.57066256,0.2045126,0.18348193,0.06486183,-0.10538508,0.031008141
0.7820718,0.15078354,0.2548983,0.03717183,-0.10219008,0.023553142
0.9717667,0.09494972,0.29653406,0.03397683,-0.09580008,0.015033141
1.1165805,-0.040103912,0.21705198,0.035041828,-0.08089008,0.004383141
1.2808621,-0.19406796,0.06835604,0.03930183,-0.06598008,-0.0062668594
1.3747858,-0.3948145,-0.098603725,0.06166683,-0.06172008,-0.01691686
1.3738598,-0.6411352,-0.321831,0.10426683,-0.06704508,-0.03821686
1.2755088,-0.8926134,-0.5186162,0.15325683,-0.08089008,-0.07549186
1.0022424,-0.90564156,-0.41854215,0.19479182,-0.109645076,-0.121286854
0.61545026,-0.65706825,-0.05418992,0.21289682,-0.13733508,-0.16814686
0.23496932,-0.24845791,0.41133475,0.20011683,-0.14479008,-0.22246186
-0.21535994,0.21871185,0.7573558,0.15219183,-0.117100075,-0.26612684
-0.6252892,0.7266302,0.8849776,0.07551183,-0.044680078,-0.29914185
-0.8534263,1.3103504,0.9785702,0.002026829,0.07246992,-0.32576686
-1.0766075,1.8789387,0.9788765,-0.05335317,0.22156993,-0.33961186
-1.1582747,2.3946505,0.77338326,-0.09488817,0.38131994,-0.34706685
-1.140316,2.812563,0.54092133,-0.13535817,0.51124996,-0.36410686
-1.1740006,3.1449194,0.3580432,-0.18754317,0.57940996,-0.39925185
-1.1652023,3.2531557,0.20670033,-0.25676817,0.57940996,-0.45463184
-0.9141469,2.958314,0.09677005,-0.34516317,0.53893995,-0.5238569
-0.58153915,2.3543034,0.21490312,-0.42823318,0.47716993,-0.58669186
-0.4162373,1.408741,0.5156076,-0.46444318,0.41646492,-0.6399419
-0.3683015,0.30052662,0.89526224,-0.44527316,0.37386495,-0.68786687
-0.33612585,-0.5431242,1.2640414,-0.39628318,0.33658993,-0.7262069
-0.22756606,-1.15804,1.514976,-0.34090316,0.28227493,-0.7389869
-0.13796258,-1.3990641,1.6319772,-0.26848316,0.22689492,-0.71555686
-0.06177932,-1.5346785,1.6028606,-0.18967317,0.18322992,-0.6655019
0.0008999109,-1.6011868,1.4428091,-0.11405817,0.15447493,-0.61544687
-0.08217353,-1.5416365,1.1759288,-0.07571817,0.14808492,-0.5760419
-0.30731207,-1.2567883,0.93505824,-0.07891317,0.15873492,-0.5558069
-0.61782837,-0.86507607,0.8069763,-0.09808317,0.18535993,-0.53450686
-0.8824649,-0.4483919,0.76369536,-0.12151317,0.21730992,-0.5036219
-0.9901136,-0.08588314,0.7592652,-0.13961817,0.25564992,-0.46315184
-0.9442556,0.18911648,0.78216803,-0.15133317,0.28546995,-0.40670684
-0.8336452,0.35276413,0.78059244,-0.16198318,0.29824993,-0.34280685
-0.6388686,0.40285683,0.7470745,-0.18115316,0.28227493,-0.28210184
-0.4503019,0.33469486,0.7498884,-0.20458317,0.24606492,-0.24482687
