xa,ya,za,xg,yg,zg
0.07258,0.01111,0.013537,-0.0021057,-0.048645,-0.0038147
0.065826,-0.011581,-0.0056749,-0.0053811,-0.034159,9.9419e-05
0.057041,-0.0063927,0.049957,-0.00070531,-0.031124,0.0036743
0.047625,-0.012654,0.030359,0.0021558,-0.032536,0.0051847
0.032512,-0.01645,0.0030939,-0.0018445,-0.03675,0.0060496
0.033489,-0.017488,0.0073156,-0.0050667,-0.039415,0.0048469
0.019877,-0.014847,0.0035319,-0.0048806,-0.038674,0.0031333
0.0061289,0.0022079,0.0057144,-0.0036703,-0.036762,0.0010907
-0.0061584,0.01345,-0.007889,-0.0026395,-0.036102,-0.0018159
0.0026463,0.027632,0.010766,-0.0016083,-0.037582,-0.0038558
0.01954,0.021903,0.043354,-0.00020081,-0.038135,-0.0055535
0.015671,0.0049303,0.024575,0.0037126,-0.035635,-0.0059861
0.0054743,-0.012453,-0.036961,0.0051866,-0.031425,-0.0058471
-0.0035327,-0.0070172,-0.051668,0.0042927,-0.023165,-0.0062628
0.022777,-0.023151,-0.044994,0.0032303,-0.014059,-0.0043614
0.015058,-0.0071903,-0.07842,0.0012505,-0.0058366,-0.0010573
0.012442,-0.0029062,-0.090304,0.0011874,0.0036968,-0.000829
0.033979,-0.011292,-0.076068,0.00042827,0.010785,0.0011718
0.04301,0.0063568,-0.04195,8.4123e-06,0.021342,0.0036151
0.021641,0.025658,-0.0097939,-0.00044117,0.030623,0.0029969
0.014738,0.033186,0.011662,-0.0019648,0.038449,0.0024469
0.016597,0.037502,0.01367,-0.0010061,0.044366,0.0028854
0.012389,0.049031,-0.0057415,0.001897,0.04468,0.0020588
0.0092903,0.034052,-0.0062628,2.4959e-05,0.042521,0.00072026
0.013577,0.038833,0.028977,-0.0015325,0.040458,-0.00035746
0.062007,-0.0025182,0.019985,0.00069839,0.038507,-0.0011215
0.037059,-0.017692,0.012923,0.00038878,0.04177,-0.0042157
-0.036861,0.0027078,0.055814,-0.00047948,0.047254,-0.0055744
-0.085372,0.020613,0.030193,0.0025056,0.048837,-0.0017812
-0.10749,0.0056272,-0.018588,0.0026559,0.044841,0.0002964
-0.080278,-0.00077438,-0.018472,0.0014938,0.031419,0.0012744
-0.0027061,0.0080466,0.083296,-0.001686,0.014694,0.0022404
0.064556,-0.012161,0.18196,-0.0010018,-0.0037591,0.0044159
0.11174,-0.055167,0.073165,0.0025121,-0.005062,0.0038369
0.15354,-0.05151,-0.026902,0.005879,0.020041,0.0043677
0.1239,-0.04048,-0.07095,0.007574,0.04358,0.0056257
