xa,ya,za,xg,yg,zg
0.046779633,-0.0064318664,0.015594959,0.015363098,-0.01092228,-0.005892239
0.08616161,-0.02793724,0.0423162,0.01962415,-0.0024001717,-0.0069575026
0.08004475,-0.049143508,0.06541252,0.020689415,0.0071872002,-0.008022765
0.03153038,-0.025333777,0.040082455,0.020689415,0.013578781,-0.005892239
-0.032731056,-0.039403096,0.054598927,0.021754678,0.008252463,-0.0026964485
-0.07231426,-0.036428258,0.07174659,0.021754678,0.001860882,-0.00056592084
-0.014593124,-0.040372334,0.06097114,0.021754678,0.0039914097,-0.00056592084
0.030364037,-0.01126406,0.04780364,0.022819942,0.009317727,0.0004993422
0.03682804,-0.0107935555,0.036694884,0.022819942,0.011448254,-0.0016311848
0.045514107,-0.012889642,0.032572865,0.021754678,0.013578781,-0.0016311848
0.011639595,-0.00083278865,0.033081174,0.020689415,0.015709307,0.0004993422
-0.033470154,0.0017964318,0.056928873,0.018558888,0.013578781,-0.00056592084
-0.03305149,-0.00045485795,0.016984224,0.015363098,0.009317727,-0.00056592084
-0.020816803,-0.007412553,-0.03601587,0.014297835,0.0061219367,-0.0016311848
-0.0040426254,-0.009657446,-0.054845333,0.014297835,0.0061219367,-0.00056592084
-0.008749008,0.0047274306,-0.042738914,0.014297835,0.0061219367,-0.00056592084
0.003112793,0.0023836792,-0.06381178,0.014297835,0.005056673,-0.0016311848
-0.004055977,-0.009446554,-0.05616355,0.014297835,0.001860882,-0.0016311848
0.0054159164,-0.0022350773,-0.029487848,0.015363098,-0.0013349081,-0.00056592084
0.00062942505,0.023814954,0.004120469,0.013232571,-0.0045306985,0.0004993422
-0.020534515,0.028312534,0.035122037,0.011102044,-0.0024001717,-0.00056592084
-0.017812729,0.009054527,0.03948784,0.0100367805,0.000795619,0.0004993422
-0.01516819,-0.0074345246,-0.0036410093,0.012167306,0.000795619,0.0004993422
0.010987282,0.002284035,-0.034272194,0.014297835,0.000795619,-0.0016311848
-0.012758255,-0.016611043,-0.036124945,0.012167306,-0.0013349081,-0.00056592084
-0.047864914,0.00964608,-0.035385728,0.0100367805,-0.0034654352,-0.0016311848
-0.049386024,0.009429462,-0.017964602,0.012167306,-0.0045306985,-0.0016311848
-0.048516273,0.02337163,-0.026640177,0.008971517,-0.007726489,-0.0026964485
-0.012293816,0.036945514,-0.051351905,0.006840989,-0.009857017,-0.0016311848
-0.028475761,0.005619347,-0.037757635,0.0057757255,-0.01092228,-0.0026964485
-0.03259945,0.031234622,-0.02899921,0.006840989,-0.016248599,-0.0016311848
-0.0083322525,0.016492777,-0.034001827,0.0057757255,-0.02050965,-0.0026964485
-0.017403603,0.0018824786,-0.019663692,0.0015146715,-0.023705443,-0.003761712
0.013755798,0.022702515,0.0088710785,0.0015146715,-0.02264018,-0.003761712
0.03496456,0.029041551,0.010920525,0.0015146715,-0.01944439,-0.003761712
0.015741348,0.02349718,-0.025063157,0.002579935,-0.016248599,-0.003761712
0.020353317,0.025139168,-0.04198718,0.0015146715,-0.011987544,-0.0026964485
-0.015192032,0.022118792,-0.04719019,-0.00061585556,-0.008791753,-0.0016311848
-0.007780075,0.00038549304,-0.05732894,-0.0016811191,-0.009857017,-0.003761712
0.018371582,0.0023328513,-0.024748087,-0.0016811191,-0.017313862,-0.003761712
0.015893936,0.004266992,-0.008523703,-0.00487691,-0.018379126,-0.0048269755
0.025247574,0.0013209209,0.009886742,-0.00487691,-0.014118071,-0.003761712
0.029687881,-0.008539051,0.018153548,-0.0059421733,-0.009857017,-0.0026964485
0.0033874512,0.017190322,-0.0047523975,-0.009137963,-0.009857017,-0.0016311848
-0.0059871674,0.059049428,-0.024923205,-0.009137963,-0.011987544,-0.00056592084
-0.003405571,0.017869689,-0.028062344,-0.01126849,-0.014118071,-0.0016311848
0.018001556,-0.013327453,-0.02387762,-0.0123337535,-0.014118071,-0.00056592084
0.0296278,0.0031983182,0.010858655,-0.0123337535,-0.013052806,0.0004993422
