xa,ya,za,xg,yg,zg
0.063905716,-0.065012574,-0.11267388,0.004190537,0.027495056,-0.008930847
0.070916176,-0.024193287,-0.13685203,0.004190537,0.022608131,-0.009541713
0.07198906,0.007995367,-0.14962828,-0.0019181154,0.015277751,-0.01137431
0.040802002,0.007469654,-0.13994825,-0.0037507112,0.006114766,-0.011985175
0.01569748,0.00077307224,-0.11856735,-0.0037507112,0.0030604452,-0.008930847
-0.008153915,-0.010471344,-0.07186663,-0.0037507112,0.0006169826,-0.002822196
-0.029524803,-0.016375303,-0.04067576,-0.003139846,0.0024495795,-0.0009895992
-0.020985603,-0.010170937,-0.056458354,-0.010470228,-0.003659077,0.0051190536
-0.0015182495,5.3167343e-05,-0.089512825,-0.02452013,-0.00549167,0.0075625144
0.039546013,0.026961327,-0.14122927,-0.047122143,-0.007324267,0.0069516487
0.079452515,0.054532647,-0.21965718,-0.06605896,-0.01709811,0.0020647272
0.07632542,0.07160735,-0.221169,-0.07705454,-0.029315416,-0.0022113305
0.07089329,0.06523788,-0.1722244,-0.07705454,-0.0366458,-0.01137431
0.045036316,0.010164857,-0.047540307,-0.067280695,-0.026871953,-0.021148153
-0.060115814,-0.078938484,0.06351936,-0.053230796,-0.0042699426,-0.021759018
-0.24815464,-0.17822075,0.11435437,-0.049565602,0.026273325,-0.016872097
-0.32632732,-0.21298373,0.081852674,-0.058117718,0.05620572,-0.004654791
-0.349576,-0.18989193,0.049001694,-0.08988271,0.09285764,-0.002822196
-0.35514736,-0.27154398,-0.059592843,-0.12836722,0.10812927,-0.007098252
-0.43492603,-0.39813006,-0.03348267,-0.17112778,0.12034657,-0.008319981
-0.53604126,-0.5612165,0.05567634,-0.21083403,0.12950954,-0.009541713
-0.5242996,-0.6904117,0.14548719,-0.251762,0.14600292,-0.01137431
-0.4596119,-0.7661408,0.18348515,-0.2871922,0.15883109,-0.026035074
-0.3971777,-0.8633075,0.20524585,-0.32323325,0.1673832,-0.043750167
-0.31748676,-0.9676182,0.2384677,-0.34950045,0.16860491,-0.070017375
-0.19706917,-0.9985794,0.28893036,-0.36110687,0.16127455,-0.096284576
-0.040463448,-0.9619696,0.35105944,-0.35072216,0.15027896,-0.12499525
0.18037796,-0.8519926,0.36287707,-0.31895718,0.12584436,-0.15370591
0.48554802,-0.59775126,0.32649195,-0.2584815,0.09224676,-0.17630793
0.7936325,-0.23372316,0.30910134,-0.17418212,0.04154495,-0.19952081
1.0107927,0.14911556,0.27858758,-0.06422637,-0.02870455,-0.21112725
1.0859842,0.513864,0.16129684,0.11109196,-0.16309491,-0.2050186
0.98916626,0.7748022,-0.0014867783,0.2210477,-0.27671584,-0.18852523
0.68560505,0.97449476,-0.060166,0.32856,-0.4025541,-0.16286889
0.19952202,1.1400565,0.023304343,0.43607226,-0.53083575,-0.12621698
-0.4375925,1.2540917,0.23834586,0.53381073,-0.6273525,-0.07979122
-1.2804222,1.2950039,0.52644795,0.6266622,-0.67377824,-0.0150395
-2.1406803,1.3001316,0.77687836,0.70729643,-0.6676696,0.0570426
-2.80023,1.2080169,0.85043114,0.7641069,-0.5968092,0.12607038
-3.2095847,1.0844753,0.76247436,0.7873198,-0.4495907,0.17921565
-3.0957437,0.939106,0.47502375,0.7732699,-0.21074238,0.19631988
-2.2272177,0.78094953,0.13938808,0.736618,0.116681375,0.1553919
-0.7747116,0.60605717,-0.3976488,0.6804184,0.47159407,0.05948606
0.9352293,0.29955113,-1.1351192,0.6150558,0.7629768,-0.05046968
2.7073946,-0.24878013,-1.8673545,0.5478606,0.9401278,-0.14759725
4.4159794,-0.94691384,-2.7335665,0.4458461,0.8546066,-0.24228138
6.1655493,-1.2887217,-4.0927267,0.43118533,0.53634584,-0.27587897
5.638048,-0.89391685,-4.2298837,0.45561996,0.02688419,-0.28992885
4.39629,-0.5179243,-3.888215,0.4708916,-0.48074484,-0.27710068
2.9289932,-0.21241617,-3.3358173,0.4269093,-0.82282937,-0.25633126
1.4896755,0.15114391,-2.4755576,0.36399016,-0.9669936,-0.2471683
0.21317291,0.42824888,-1.471135,0.3053471,-0.9309525,-0.2648834
-0.8345213,0.5505469,-0.6689906,0.26075393,-0.78801,-0.31069827
-1.883359,0.3993734,-0.09036422,0.23631933,-0.60658306,-0.35895663
-2.7523327,0.17269754,0.34659922,0.22165857,-0.4092736,-0.39072162
-3.3950248,0.00039303303,0.5599512,0.2088304,-0.23395526,-0.42248663
-3.859025,-0.19294918,0.6713464,0.17584367,-0.061080407,-0.42920613
-4.042259,-0.31316936,0.73581874,0.13002878,0.10996186,-0.40782586
-3.9754868,-0.35996437,0.7862717,0.07321831,0.281615,-0.35895663
-3.5566087,-0.32387125,0.64837015,0.021294763,0.41600534,-0.26732683
-2.8909855,-0.28627717,0.23155546,-0.04345695,0.5137438,-0.1976882
-2.1073208,-0.24387479,-0.33032787,-0.080108866,0.508246,-0.1292713
-1.3114014,-0.21086216,-1.0131197,-0.109430395,0.43616387,-0.06635218
-0.6013994,-0.19614041,-1.7131625,-0.14608231,0.31460172,-0.002822196
-0.053105354,-0.20715868,-2.1804795,-0.18029076,0.17471358,0.04787962
0.32137775,-0.17739797,-2.2684093,-0.20167105,0.053762257,0.08575326
0.48888302,-0.13114011,-2.0172036,-0.20533624,-0.015876379,0.10835528
0.4252596,-0.066100955,-1.5616832,-0.18578856,-0.034813203,0.11629653
0.22381783,0.031053543,-1.0679262,-0.15891048,-0.018930707,0.11079874
-0.080384254,0.16032678,-0.66803813,-0.13325414,0.02688419,0.09797057
-0.39922905,0.23526192,-0.4564395,-0.11309559,0.080029465,0.082088076
-0.7601824,0.24737668,-0.49473083,-0.11431732,0.12767696,0.06254038
-1.0684004,0.19867045,-0.6086415,-0.12714548,0.16982666,0.04543616
-1.3594599,0.052500486,-0.7439009,-0.15096924,0.22052845,0.039327506
-1.7204309,-0.24216425,-1.0266861,-0.19311893,0.29444316,0.049101353
-1.6545672,-0.32957017,-1.194844,-0.21755354,0.34331238,0.06742731
-1.4557867,-0.41675293,-1.3107021,-0.24809681,0.3830186,0.088196725
-1.2220898,-0.44862556,-1.3925613,-0.2761966,0.40684235,0.10591182
-0.9534683,-0.39585888,-1.4364238,-0.29818776,0.4092858,0.12362691
-0.67832947,-0.25679386,-1.5081793,-0.3238441,0.38668382,0.13584422
-0.43976498,0.026895046,-1.5300965,-0.34278092,0.34697756,0.13950941
-0.30238056,0.449718,-1.6119056,-0.35255477,0.29077795,0.13706595
-0.289896,0.902442,-1.7871277,-0.3556091,0.2217502,0.1376768
-0.39964294,1.2363795,-1.8744634,-0.34217006,0.1582202,0.141342
-0.2654848,1.4792814,-1.9004061,-0.3220115,0.11607052,0.13156816
-0.4889841,1.6065221,-1.7892615,-0.28597045,0.068423025,0.12607038
-0.73864555,1.6969652,-1.1522382,-0.22244047,0.07575341,0.12179431
-0.76166725,1.7742481,-0.8944694,-0.1674626,0.1582202,0.101024896
-0.54868793,1.7534716,-0.9353131,-0.11431732,0.34881017,0.042992696
-0.21666336,1.5949619,-1.2073097,-0.08927184,0.45326814,-0.002822196
0.18013191,1.3914137,-1.6687154,-0.07827627,0.48686573,-0.042528436
0.661356,1.1489038,-2.099535,-0.078887135,0.45448986,-0.065741315
1.1302156,0.77891195,-2.272403,-0.09415877,0.3885164,-0.06390872
1.443882,0.3145613,-2.3389668,-0.11614992,0.29444316,-0.025424208
1.6918411,-0.21106535,-2.4497647,-0.13630846,0.18937433,0.0570426
1.8531971,-0.6270485,-2.6886196,-0.1356976,0.054373123,0.16394402
2.241621,-0.6333657,-2.0510154,-0.0513982,-0.09773232,0.24457823
2.9995613,-0.09114504,-0.62635994,0.092766,-0.18081,0.25984985
4.159502,0.9123144,0.7775097,0.25220183,-0.10506271,0.1694418
5.792001,2.5262752,2.2013116,0.41163766,0.09896629,-0.04619363
7.0954227,4.0755897,2.5847864,0.53686506,0.23641095,-0.31497434
6.8821325,4.3814473,1.4068062,0.5808473,0.17532444,-0.5092295
5.1039743,3.3094454,-0.86386466,0.4495113,-0.1966925,-0.5513792
0.9019995,0.33712327,-2.3545356,0.37315315,-0.51922935,-0.4066041
-0.5884285,-1.1124202,-1.0316097,0.3212296,-0.7342539,-0.17264274
-1.3764,-2.1890974,0.6923039,0.24426058,-0.7605211,0.07170336
-1.7372093,-2.710956,2.1707973,0.11658974,-0.62246555,0.26351506
-2.099401,-2.8764904,3.0033474,-0.053230796,-0.4037758,0.39301848
-2.483512,-3.0425582,3.3746686,-0.23954469,-0.20035768,0.48587
-2.3704271,-3.0074158,3.587729,-0.41058695,-0.03908926,0.5347392
-1.8187089,-2.848011,3.7446153,-0.53214914,0.07330995,0.5298523
-1.1423588,-2.651226,3.786131,-0.5999552,0.12950954,0.48098308
-0.31538963,-2.317376,3.6265638,-0.6048421,0.1429486,0.3893533
0.566699,-1.7560339,3.5051708,-0.53764695,0.15455502,0.28672794
1.6972504,-0.790979,3.5928888,-0.39103928,0.21014374,0.18288083
2.7425003,0.062359095,3.3862028,-0.20900144,0.30299526,0.10591182
3.5078049,0.52209234,2.461263,-0.06605896,0.34270152,0.104079224
3.8564558,0.70036304,1.2418413,0.056114085,0.16188541,0.18898949
3.7466097,0.7470687,0.37377548,0.090933405,-0.0769629,0.30749735
3.3746128,0.7417445,-0.022871137,0.098263785,-0.3249742,0.40584666
2.724659,0.7145012,0.09770489,0.08910081,-0.5143424,0.45227242
2.0078487,0.60969085,0.5465212,0.086657345,-0.6126917,0.45410502
1.2303448,0.31623864,1.1513643,0.09643119,-0.6145243,0.4241726
0.57337093,-0.055101752,1.4947402,0.105594166,-0.54855084,0.37041646
-0.08407879,-0.48729718,1.6587418,0.09887465,-0.44714725,0.32032552
-0.67401314,-0.9310367,1.598041,0.06833139,-0.35735005,0.2855062
-1.2545309,-1.2360641,1.534828,0.021905629,-0.2846571,0.27206716
-1.8189492,-1.4489071,1.5701342,-0.021465804,-0.23456615,0.28123015
-2.3616395,-1.4168935,1.697214,-0.058728583,-0.19302729,0.30444303
-2.8088098,-1.2456319,1.77701,-0.07644367,-0.14476895,0.33193195
-3.4266877,-0.6170913,2.1164432,-0.08255233,-0.07757377,0.3508688
-3.4028249,-0.11151135,2.2687762,-0.06972416,0.09285764,0.33376455
-3.3413062,0.516577,2.0485983,-0.058728583,0.18815261,0.27817583
-3.3771267,1.2073178,1.7023718,-0.04467868,0.22724798,0.19143295
-3.1822896,1.6351109,1.5475316,-0.009859364,0.23152405,0.09674884
-2.962223,1.8821827,1.4385585,0.053059757,0.22358277,-0.0058765225
-2.737319,1.9631115,1.3716676,0.12819618,0.20586771,-0.10422583
-2.5599132,1.8245841,1.3754227,0.22226943,0.19120693,-0.19096869
-2.391028,1.437784,1.3750249,0.3371121,0.17898962,-0.24961177
-2.0139408,0.99590576,1.1372008,0.44828957,0.17898962,-0.30031356
-1.3752661,0.5589087,0.56347185,0.53075635,0.18387654,-0.34001982
-0.577549,0.17839575,-0.1983037,0.5710735,0.16799405,-0.37850434
0.17090893,-0.12601769,-0.9931079,0.5729061,0.088581584,-0.40782586
0.67276955,-0.39093065,-1.5720431,0.55396926,-0.0506957,-0.42248663
0.8446474,-0.5768086,-1.9308289,0.53503245,-0.21135327,-0.4243192
0.62368965,-0.55891407,-2.0123332,0.52098256,-0.40438667,-0.4438669
0.12616348,-0.35421586,-1.6798507,0.523426,-0.45814282,-0.4683015
-0.5789213,-0.13913763,-1.0742624,0.53258896,-0.43370822,-0.4982339
-1.3022165,-0.0398767,-0.6887293,0.51548475,-0.36040437,-0.51655984
-1.9973397,-0.22503567,-0.55840623,0.45623082,-0.23762047,-0.5135055
-2.450162,-0.6740701,-0.41057253,0.37742922,-0.0787955,-0.48418403
-2.5540543,-1.2964017,-0.07510877,0.3090123,0.08797071,-0.43897998
-2.323203,-1.900888,0.21914232,0.26625174,0.25351518,-0.38278037
-1.8707962,-2.3611743,0.20391107,0.2473149,0.38424036,-0.33024597
-1.0866146,-2.6369734,-0.17728603,0.24487144,0.47037235,-0.29420492
-0.13427925,-2.722089,-0.882161,0.23998453,0.5070243,-0.2697703
0.71729946,-2.6116138,-1.7883606,0.24487144,0.48320052,-0.25633126
1.4355125,-2.2719598,-2.7162263,0.25342357,0.4092858,-0.24900088
1.9095373,-1.7430257,-3.4969482,0.2564779,0.2284697,-0.23983791
2.173787,-1.189788,-3.9900475,0.2564779,0.1075184,-0.23372924
2.0346718,-0.85543954,-3.8009586,0.23998453,0.04337755,-0.21295984
1.8139639,-1.1426755,-3.472873,0.22165857,0.02688419,-0.18241657
1.7950916,-1.5284698,-3.1685693,0.21432818,0.032381974,-0.15004072
1.80305,-1.9840628,-2.8675914,0.20088914,0.0024495795,-0.12866044
2.0094032,-2.5934467,-2.093018,0.16240464,-0.05558262,-0.11888659
2.2094116,-3.490656,-0.72083616,0.075050905,-0.0006047487,-0.09445198
2.0357437,-4.360661,0.03862524,-0.121036835,0.19242865,-0.026035074
1.7831106,-4.7499514,-0.13311934,-0.37882197,0.37507737,0.10469009
2.289114,-4.024347,-0.110224366,-0.49366462,0.35858402,0.22136535
3.0791988,-2.668974,-0.20770717,-0.47411695,0.114848785,0.2714563
3.7450743,-1.3025807,0.21442008,-0.4362433,-0.22784662,0.28123015
4.1094007,0.155218,1.6335216,-0.38737407,-0.5412205,0.250076
3.8882904,1.737686,3.190949,-0.3342288,-0.69821286,0.17860478
3.091611,2.99718,4.3662677,-0.28597045,-0.6322394,0.058875196
