xa,ya,za,oraa
0.31597224,3.4555945,7.0887365,19:32:52.960
0.31980073,3.4249668,6.949834,19:32:52.969
0.3888337,3.3043685,6.99769,19:32:53.043
0.4022335,3.3034115,7.1059656,19:32:53.047
0.41754758,3.3388252,7.1729646,19:32:53.052
0.37830526,3.3991241,7.239126,19:32:53.057
0.3562913,3.4029527,7.1327653,19:32:53.070
0.39649072,3.366582,7.1566935,19:32:53.092
0.45966125,3.3359537,7.18445,19:32:53.110
0.4587041,3.3952956,7.1298933,19:32:53.130
0.38021952,3.4421952,7.080123,19:32:53.153
0.38213378,3.4201808,7.1413794,19:32:53.176
0.39649072,3.4125242,7.008219,19:32:53.194
0.34002012,3.4756947,6.98429,19:32:53.214
0.3505485,3.450809,7.0456667,19:32:53.241
0.29204398,3.4747376,7.0408807,19:32:53.253
0.33128628,3.449852,7.0341806,19:32:53.275
0.33320054,3.4431524,7.012047,19:32:53.300
0.31692937,3.4911282,7.105008,19:32:53.314
0.30065817,3.5016568,7.071509,19:32:53.333
0.27385855,3.5073996,7.072466,19:32:53.353
0.2987439,3.5006995,7.0485373,19:32:53.377
0.30257243,3.5073996,7.0475807,19:32:53.398
0.34480575,3.466123,7.0791655,19:32:53.414
0.31980073,3.4997425,7.0791655,19:32:53.435
0.3150151,3.5485563,7.092566,19:32:53.456
0.3534199,3.5016568,7.0705514,19:32:53.478
0.36107695,3.456552,7.0916085,19:32:53.495
0.35533416,3.4594235,7.0284376,19:32:53.513
0.39744785,3.4134812,7.0198236,19:32:53.534
0.38404804,3.439324,7.035138,19:32:53.555
0.37543386,3.466123,7.0533237,19:32:53.572
0.38787657,3.4853854,7.025567,19:32:53.593
0.36011982,3.512185,7.0313096,19:32:53.614
0.30257243,3.5447273,7.0657663,19:32:53.644
0.33810586,3.5169709,7.192107,19:32:53.666
0.3591627,3.4728234,7.1777506,19:32:53.685
0.29970104,3.5198421,7.017909,19:32:53.696
0.28630123,3.5523846,6.929734,19:32:53.714
0.37734812,3.5150566,6.247899,19:32:53.740
0.19537397,3.4959137,7.7600436,19:32:53.754
0.4386044,3.5188851,7.282197,19:32:53.774
0.45391846,3.4959137,7.044709,19:32:53.795
0.2987439,3.463252,6.957491,19:32:53.818
0.3121437,3.4844284,6.7803025,19:32:53.836
0.35437703,3.5112278,6.7171316,19:32:53.856
0.34480575,3.5408988,6.963233,19:32:53.878
0.31405798,3.5351562,7.1490364,19:32:53.892
0.28151557,3.5590844,7.1394644,19:32:53.918
0.29012975,3.5542989,7.076295,19:32:53.941
0.22025934,3.5935411,6.9852476,19:32:53.959
0.25758737,3.5389848,6.9603624,19:32:53.976
0.29204398,3.5150566,6.91442,19:32:53.998
0.26428726,3.5351562,7.0916085,19:32:54.021
0.27194428,3.5112278,7.0983086,19:32:54.040
0.21643081,3.5380278,7.20455,19:32:54.067
0.24610181,3.4747376,7.120322,19:32:54.082
0.27194428,3.5093136,6.94792,19:32:54.100
0.26715866,3.4873,6.951748,19:32:54.122
0.28438696,3.489214,6.9134626,19:32:54.142
0.25280172,3.5581274,6.9670625,19:32:54.161
0.2987439,3.5073996,7.0169525,19:32:54.184
0.29970104,3.4939995,7.0581093,19:32:54.204
0.3322434,3.389553,7.1815786,19:32:54.220
0.32362926,3.4182668,7.083952,19:32:54.243
0.262373,3.505485,7.1251087,19:32:54.258
0.28151557,3.4949565,7.089694,19:32:54.282
0.26428726,3.5284562,7.0198236,19:32:54.299
0.27768707,3.5083566,7.029395,19:32:54.319
0.31118658,3.4670804,7.116494,19:32:54.340
0.26715866,3.5064423,7.0944805,19:32:54.362
0.22408783,3.547599,7.0561953,19:32:54.385
0.24705894,3.4825144,6.9718475,19:32:54.409
0.2585445,3.477609,6.9766335,19:32:54.424
0.28917262,3.4968712,7.0072618,19:32:54.447
0.31310084,3.4728234,7.076295,19:32:54.464
0.2681158,3.4939995,7.148079,19:32:54.481
0.28342983,3.5006995,7.1078796,19:32:54.503
0.27194428,3.4689946,7.0523663,19:32:54.524
0.2193022,3.503571,6.991947,19:32:54.546
0.20111676,3.562913,6.912505,19:32:54.568
0.25088745,3.5437703,6.944091,19:32:54.583
0.28917262,3.5198421,6.951748,19:32:54.606
0.30831522,3.5255847,6.9890766,19:32:54.624
0.31692937,3.5064423,7.0753374,19:32:54.644
0.27481568,3.5341992,7.136594,19:32:54.662
0.23844479,3.6002412,7.1815786,19:32:54.682
0.2681158,3.6021554,7.159565,19:32:54.710
0.22121647,4.0924444,3.6987057,19:32:54.727
-0.029671002,3.2420354,7.783015,19:32:54.744
0.056470618,3.3933816,9.113184,19:32:54.761
0.07082755,3.7056446,7.869156,19:32:54.779
0.31310084,3.898985,7.0868225,19:32:54.801
0.27098715,3.4421952,7.1729646,19:32:54.821
0.2260021,3.532285,6.5850477,19:32:54.839
0.31405798,3.6021554,5.9414983,19:32:54.859
0.368734,3.532285,6.2679987,19:32:54.881
0.2757728,3.5341992,6.745846,19:32:54.898
0.23653053,3.6117265,6.8742204,19:32:54.925
0.28917262,3.5877984,7.066723,19:32:54.940
0.32650065,3.4911282,7.3578105,19:32:54.962
0.339063,3.4536805,7.488099,19:32:54.989
0.3245864,3.4766517,7.3137817,19:32:55.001
0.31022945,3.4978285,7.2074213,19:32:55.026
